127.0.0.1 - - [03/Nov/2025:12:12:19 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:19 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:35 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:35 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:35 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:35 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:35 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:35 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:36 +0000] "POST /api/auth/login HTTP/1.1" 401 87 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:43 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:43 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:44 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:44 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:44 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:44 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:47 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:47 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:47 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:47 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:47 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:12:48 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:13:52 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:13:52 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:32 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:32 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:32 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:32 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:32 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:32 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:36 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:36 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:36 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:36 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:36 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:36 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:39 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:39 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:39 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:39 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:39 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:40 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:40 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:14:40 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:32 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:32 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:32 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:32 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:32 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:32 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:47 +0000] "POST /api/auth/login HTTP/1.1" 200 639 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:48 +0000] "GET /api/maintenance-records HTTP/1.1" 200 1824 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:49 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:49 +0000] "GET /api/secure/vehicles HTTP/1.1" 200 1079 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:49 +0000] "GET /api/asset-assignments?activeOnly=true HTTP/1.1" 200 416 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:49 +0000] "GET /api/secure/getWorkAreas HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:50 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:50 +0000] "GET /api/getCities HTTP/1.1" 200 2404 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:50 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:50 +0000] "GET /api/secure/getWorkAreas?active=true HTTP/1.1" 200 1303 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:50 +0000] "GET /api/secure/projects HTTP/1.1" 200 582 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:52 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:52 +0000] "GET /api/secure/companies?active=true HTTP/1.1" 200 1190 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:52 +0000] "GET /api/secure/personnel HTTP/1.1" 200 979 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:22:52 +0000] "GET /api/secure/outage-processes?active=true&limit=50 HTTP/1.1" 200 137 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:23:22 +0000] "POST /api/secure/outage-processes HTTP/1.1" 201 337 "-" "node"
127.0.0.1 - - [03/Nov/2025:12:23:22 +0000] "GET /api/secure/outage-processes?active=true&limit=50 HTTP/1.1" 200 787 "-" "node"
