139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /ext-js/app/common/zld_product_spec.js HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /inicio.cgi HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /FXfX HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:28 +0000] "GET /versions HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /login/login.html HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /allversions HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /r-seenet/index.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /readme.txt HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /api/vip/i18n/api/v2/translation/products/vRNIUI/versions/1 HTTP/1.1" 404 296 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /api/server/version HTTP/1.1" 404 216 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /c/login HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /WebApp/js/UI_String.js HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /home.jsa HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /tos/index.php?user/login HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /webui HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /language/en-GB/en-GB.xml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:29 +0000] "GET /admin.shtml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /kylin/ HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /IPCamDesc.xml HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - cslu-windows-client [10/Nov/2025:04:42:30 +0000] "GET /cslu/v1/core/conf HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /menu.php HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /officescan/console/cgi/cgiChkMasterPwd.exe HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /menu.cfm HTTP/1.1" 200 625 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /api/v1.0/environment HTTP/1.1" 404 220 "-" "curl/7.54.0"
139.144.52.241 - - [10/Nov/2025:04:42:30 +0000] "GET /admin/reports/status HTTP/1.1" 200 625 "-" "curl/7.54.0"
